timestamp,elapsed_time,Plastic_1_in_water_pixel_area,Plastic_1_in_water_area_cm2,Plastic_2_in_acid_pixel_area,Plastic_2_in_acid_area_cm2
20250411_113615,574.40,102042.0,4.114605003403555,101612.0,4.097266259048648
20250411_113625,584.45,101962.0,4.111379190500316,101540.0,4.094363027435732
20250411_113635,594.46,101973.5,4.111842901105157,101525.0,4.093758187516375
20250411_113646,604.51,101963.5,4.111439674492252,101585.0,4.096177547193804
20250411_113656,614.54,102078.5,4.1160767805406575,101705.0,4.101016266548662
20250411_113706,624.56,101976.0,4.111943707758384,101510.0,4.093153347597018
20250411_113716,634.60,101960.5,4.1113187065083805,101510.0,4.093153347597018
20250411_113726,644.69,101997.5,4.112810644976129,101474.0,4.09170173179056
20250411_113736,654.74,101925.0,4.109887252032569,101545.5,4.09458480207283
20250411_113746,664.76,102044.0,4.114685648726136,101619.0,4.09754851767768
20250411_113756,674.80,101890.0,4.108475958887402,101480.5,4.091963829088948
20250411_113806,684.82,101991.0,4.11254854767774,101473.5,4.091681570459915
20250411_113816,694.85,102071.0,4.115774360580979,101478.5,4.091883183766368
20250411_113826,704.91,101978.5,4.112044514411609,101581.0,4.096016256548642
20250411_113836,714.93,102036.0,4.1143630674358125,0,0.0
20250411_113846,724.95,101935.0,4.1102904786454735,101614.5,4.0973670657018735
20250411_113856,735.01,102039.5,4.114504196750329,101475.5,4.091762215782496
20250411_113906,745.01,102057.5,4.115230004653558,101455.5,4.090955762556686
20250411_113916,755.12,101997.0,4.112790483645483,101536.5,4.094221898121216
20250411_113926,765.16,101936.0,4.110330801306764,0,0.0
20250411_113936,775.17,101957.5,4.111197738524509,0,0.0
20250411_113946,785.21,101952.0,4.1109759638874115,101497.0,4.092629153000241
20250411_113956,795.23,102019.5,4.1136977435245194,101555.0,4.0949678673550896
20250411_114006,805.29,101945.5,4.110713866589024,101588.5,4.096318676508321
20250411_114016,815.34,101902.5,4.108979992153532,101471.5,4.091600925137334
20250411_114026,825.36,101955.0,4.111096931871283,101468.5,4.091479957153463
20250411_114036,835.39,101998.0,4.112830806306774,101561.0,4.095209803322833
20250411_114046,845.40,101987.5,4.112407418363224,101505.5,4.09297189562121
20250411_114056,855.45,101912.5,4.109383218766437,101499.0,4.092709798322822
20250411_114106,865.49,101991.0,4.11254854767774,101480.5,4.091963829088948
