timestamp,elapsed_time,Plastic_1_in_water_pixel_area,Plastic_1_in_water_area_cm2,Plastic_2_in_acid_pixel_area,Plastic_2_in_acid_area_cm2
20250411_081052,70591.55,102525.0,4.134080848806859,100654.0,4.058637149532363
20250411_081103,70601.58,102549.0,4.135048592677831,100645.5,4.058294406911394
20250411_081113,70611.62,102659.5,4.1395042467504295,100667.0,4.05916134412914
20250411_081123,70621.65,102586.0,4.136540531145578,100678.0,4.059604893403336
20250411_081133,70631.68,102657.0,4.139403440097203,0.0,0.0
20250411_081143,70641.71,102736.5,4.142609091669796,0.0,0.0
20250411_081153,70651.75,102619.5,4.137891340298809,100737.5,4.06200409175012
20250411_081203,70661.78,102593.0,4.136822789774612,100640.0,4.058072632274297
20250411_081213,70671.81,102597.5,4.137004241750419,100744.5,4.062286350379153
20250411_081223,70681.84,102646.5,4.138980052153652,100426.5,4.049463744088778
20250411_081233,70691.88,102642.5,4.138818761508491,0.0,0.0
20250411_081243,70701.91,102557.5,4.1353913352988,100657.0,4.058758117516235
20250411_081253,70711.94,102583.0,4.136419563161707,100739.0,4.062064575742054
20250411_081303,70721.97,102573.5,4.136036497879447,100669.0,4.059241989451721
20250411_081313,70732.01,102587.5,4.136601015137514,100696.0,4.060330701306564
20250411_081323,70742.04,102667.5,4.139826828040753,100734.5,4.061883123766248
20250411_081333,70752.07,102639.0,4.138677632193974,100614.5,4.05704440441139
20250411_081343,70762.1,102571.5,4.135955852556866,100660.0,4.058879085500107
20250411_081353,70772.13,102628.5,4.138254244250424,100641.5,4.058133116266233
20250411_081403,70782.17,102566.0,4.135734077919769,100686.0,4.059927474693659
20250411_081413,70792.2,102632.0,4.138395373564941,0.0,0.0
20250411_081423,70802.23,102641.5,4.1387784388472,100664.5,4.059060537475914
20250411_081433,70812.26,102631.0,4.13835505090365,100620.5,4.057286340379132
20250411_081443,70822.3,102625.0,4.138113114935908,100649.5,4.058455697556556
20250411_081453,70832.33,102622.5,4.138012308282681,100639.0,4.058032309613006
20250411_081503,70842.36,102586.0,4.136540531145578,100680.0,4.059685538725916
20250411_081513,70852.4,102664.0,4.139685698726236,100645.5,4.058294406911394
20250411_081523,70862.43,102604.0,4.137266339048807,100647.5,4.058375052233975
20250411_081533,70872.46,102766.0,4.143798610177866,100861.0,4.066983940419494
20250411_081544,70882.56,102632.0,4.138395373564941,100640.0,4.058072632274297
20250411_081554,70892.59,102614.0,4.137669565661712,100662.0,4.058959730822688
20250411_081604,70902.63,102661.0,4.139564730742364,100622.5,4.057366985701713
20250411_081614,70912.66,102581.0,4.136338917839126,100673.5,4.059423441427528
20250411_081624,70922.69,102582.0,4.136379240500416,100642.0,4.058153277596878
20250411_081634,70932.72,102620.0,4.137911501629455,100626.5,4.057528276346875
20250411_081644,70942.75,102590.0,4.136701821790741,0.0,0.0
20250411_081654,70952.79,102582.5,4.136399401831062,100645.5,4.058294406911394
20250411_081704,70962.82,102602.0,4.137185693726226,100769.0,4.063274255580769
20250411_081714,70972.85,102647.0,4.139000213484298,100690.0,4.060088765338821
20250411_081724,70982.88,102568.0,4.135814723242349,100701.5,4.060552475943662
20250411_081734,70992.92,102612.5,4.137609081669776,100857.0,4.066822649774331
20250411_081744,71002.95,102553.5,4.135230044653638,100620.0,4.057266179048487
20250411_081754,71012.98,102587.5,4.136601015137514,100658.0,4.058798440177526
20250411_081804,71023.01,102548.5,4.135028431347185,100611.0,4.0569032750968725
20250411_081814,71033.05,102663.5,4.139665537395591,100681.5,4.059746022717852
20250411_081824,71043.08,102590.0,4.136701821790741,100698.0,4.060411346629145
20250411_081834,71053.11,102695.0,4.140935701226241,100690.0,4.060088765338821
20250411_081844,71063.14,102613.5,4.137649404331067,100646.0,4.058314568242039
20250411_081854,71073.18,102611.0,4.13754859767784,100726.0,4.061540381145279
20250411_081904,71083.21,102590.5,4.136721983121386,100772.0,4.06339522356464
20250411_081914,71093.24,102630.5,4.138334889573005,100694.0,4.060250055983983
20250411_081924,71103.27,102645.5,4.138939729492362,100719.5,4.061278283846891
20250411_081934,71113.3,102593.0,4.136822789774612,100717.0,4.061177477193664
20250411_081944,71123.34,102643.5,4.138859084169781,100720.0,4.061298445177536
20250411_081954,71133.37,102587.5,4.136601015137514,100712.5,4.060996025217857
20250411_082004,71143.4,102589.0,4.13666149912945,100684.5,4.059866990701724
20250411_082014,71153.43,102609.5,4.137488113685905,100748.0,4.062427479693669
20250411_082024,71163.47,102588.0,4.136621176468159,100806.0,4.064766194048517
20250411_082034,71173.5,102615.5,4.137730049653648,100613.0,4.056983920419453
