timestamp,elapsed_time,Test_fast_Dissolving_1_avg_intensity,Test_fast_Dissolving_1_std_intensity,Test_fast_Dissolving_1_min_intensity,Test_fast_Dissolving_1_max_intensity
15_17_05,779.51,218.64005357142858,2.49620125619226,195,232
15_17_07,781.59,217.92595714285713,2.5019342113979066,200,233
15_17_09,783.69,217.91686785714285,2.5220215340580565,203,233
15_17_11,785.76,218.458175,3.114567263811069,198,237
15_17_13,787.86,217.88262857142857,2.7232928501641362,197,233
15_17_16,789.94,217.37580357142858,2.5459681495569964,191,233
15_17_18,792.08,217.96203214285714,2.631638112679951,199,233
15_17_20,794.12,219.2228392857143,3.7183555038137968,203,240
15_17_22,796.23,218.98051785714287,2.8981229916415074,200,236
15_17_24,798.30,218.1878607142857,2.530993127049325,192,234
15_17_26,800.42,217.9843,2.5789553413847908,195,233
15_17_28,802.48,218.49695357142858,2.5703303021460298,198,233
15_17_30,804.59,218.753725,2.8394633640537736,200,234
15_17_32,806.66,217.09262857142858,2.3201243696431977,201,231
15_17_34,808.76,216.59471428571428,2.5581872607814486,200,232
15_17_37,810.85,218.02029642857144,4.140645073707214,167,239
15_17_39,812.95,218.84281785714285,2.6952333961423682,198,234
15_17_41,815.02,218.47337857142858,2.8756437564181225,202,237
15_17_43,817.13,219.04750714285714,2.550752031954578,201,233
15_17_45,819.21,218.379325,2.904649298000535,197,236
15_17_47,821.31,218.97808928571428,2.3973531369943464,203,236
15_17_49,823.38,217.07871785714286,2.4858413204376917,201,231
15_17_51,825.50,218.63824285714287,2.657824631083066,199,235
15_17_53,827.56,218.40932857142857,2.5564680111514826,200,235
15_17_55,829.67,218.5129,2.4801176564832565,199,233
15_17_57,831.75,217.9627,2.5460687054471145,194,235
15_17_59,833.85,218.53175714285715,2.461223284325525,199,232
15_18_02,835.93,218.74565357142856,2.7472292602836537,201,234
15_18_04,838.03,218.74389285714287,2.450906943493217,193,232
15_18_06,840.12,218.44536428571428,2.5782414984711526,201,233
15_18_08,842.21,218.34338571428572,2.561141033617952,191,233
15_18_10,844.29,218.58645357142856,2.3877957695603076,203,232
15_18_12,846.39,218.61121785714286,2.297242574347648,200,232
15_18_14,848.46,218.23348214285716,2.5198151185799285,199,233
15_18_16,850.56,218.4436142857143,2.452331093894467,201,236
15_18_18,852.65,217.78595,2.3241182101267692,196,231
15_18_20,854.75,218.90471428571428,2.8511625305320996,198,236
15_18_22,856.83,218.34769285714285,2.2968664287192566,191,232
15_18_25,858.93,218.79899642857143,2.5815100218369067,198,235
15_18_27,861.01,218.26089642857144,2.3298070543934597,196,232
15_18_29,863.11,218.93176428571428,2.7694121916565466,200,235
15_18_31,865.19,217.70363928571427,2.2323823689757485,198,232
15_18_33,867.29,218.7606607142857,2.41039243823776,199,233
15_18_35,869.36,218.72958214285714,2.4208703947656,203,234
15_18_37,871.47,218.67996428571428,2.7368109698038663,199,235
15_18_39,873.54,217.602425,2.682421982239851,197,234
15_18_41,875.65,219.392,2.393131600464725,199,233
15_18_43,877.73,218.48608214285716,2.5035387540944023,199,232
15_18_45,879.83,217.88588214285716,2.47067702701587,199,234
15_18_48,881.90,218.90085714285715,3.021813430402887,203,237
15_18_50,884.01,218.10559285714285,2.5016180774976955,201,233
15_18_52,886.09,218.89147857142856,3.016245577743149,201,238
15_18_54,888.19,218.4362,2.512943832013987,195,233
15_18_56,890.26,218.670075,3.1250364903155243,199,238
15_18_58,892.38,218.37795357142858,2.317109735514444,199,232
15_19_00,894.45,217.81767857142856,2.375423639714029,193,232
15_19_02,896.55,218.66998214285715,2.4552230767944447,201,233
15_19_04,898.63,218.210475,2.3123326787536738,197,233
15_19_06,900.73,217.97663571428572,2.5932488936542084,202,233
15_19_08,902.80,218.83955,2.741842200901222,193,234
15_19_11,904.91,217.64207142857143,2.483144894347998,195,231
15_19_13,906.99,217.66280714285713,2.5753337325936414,194,235
15_19_15,909.09,217.7917642857143,2.588019518889504,198,233
15_19_17,911.17,218.1152857142857,3.1648350087568646,197,237
15_19_19,913.27,217.63332142857143,2.5070536998290502,195,232
15_19_21,915.34,217.72869642857142,2.3412843119264606,200,232
15_19_23,917.45,216.56561785714285,3.0307674671081455,194,232
15_19_25,919.52,219.704775,2.7925966000845115,201,235
15_19_27,921.63,217.624625,2.4307929413384253,196,231
15_19_29,923.71,218.105075,2.5362215910012114,201,233
15_19_31,925.81,218.58671785714284,2.8787537008913096,203,235
15_19_34,927.88,218.0363357142857,3.0932774576738282,201,236
15_19_36,930.08,218.72683214285715,2.2677830663689362,201,233
15_19_38,932.08,218.9787107142857,2.682046190190202,201,235
15_19_40,934.16,218.27521071428572,2.589796970508814,199,233
15_19_42,936.26,218.11385714285714,5.209997338320446,167,240
15_19_44,938.33,218.51723214285715,2.590354950105924,201,233
15_19_46,940.44,218.17245357142858,2.5963832910941633,202,234
15_19_48,942.52,217.38872142857142,2.4103621410421687,200,231
15_19_50,944.62,218.7289357142857,2.7048466835629763,200,237
15_19_52,946.69,218.44317857142858,2.868544909302219,200,235
15_19_54,948.79,218.16063214285714,2.4133514397666946,200,232
15_19_57,950.89,218.552825,2.3768110879803697,202,234
15_19_59,952.96,218.5508,3.5675639051238948,191,239
15_20_01,955.07,217.75185357142857,2.3179266736186803,202,232
15_20_03,957.15,217.87162142857142,2.4559979815250466,197,233
15_20_05,959.25,217.2651,2.3202848941455443,199,232
15_20_07,961.32,218.49117142857142,4.011787175566623,199,239
15_20_09,963.43,218.55609642857144,2.5196491347269174,201,233
15_20_11,965.51,218.502925,2.4009489228405685,198,233
15_20_13,967.61,217.83835,2.4141009844690187,199,230
15_20_15,969.69,218.43317142857143,3.3688454485663963,200,237
