timestamp,last_capture_time,crack_area,area_m2
20250408_141139,600,1724214.5,4.25927520736758
20250408_141159,610,1724861.5,4.260873472002964
20250408_141219,620,1724466.5,4.259897715386308
20250408_141239,630,1720071.0,4.249039643972348
20250408_141259,640,1722198.5,4.254295143217759
20250408_141320,650,1722185.5,4.254263029708856
20250408_141340,660,1725276.5,4.261898634017933
20250408_141400,670,1723246.5,4.256883986089292
20250408_141420,680,1725836.0,4.263280750035703
20250408_141440,690,1724950.0,4.261092090890494
20250408_141500,700,1726508.5,4.264942006553935
20250408_141521,710,1725794.0,4.263176998699249
20250408_141541,720,1726988.5,4.266127736113416
20250408_141601,730,1724755.5,4.260611623391912
20250408_141621,740,1725350.5,4.262081433991686
20250408_141641,750,1721776.0,4.253251454178423
20250408_141701,760,1723759.0,4.25814999942103
20250408_141722,770,1723507.5,4.257528726537261
20250408_141742,780,1725331.5,4.26203449886329
20250408_141802,790,1727414.5,4.267180071097456
20250408_141822,800,1722266.0,4.25446188643706
20250408_141842,810,1722830.0,4.255855118669451
20250408_141902,820,1726880.5,4.265860946962533
20250408_141922,830,1725735.0,4.263031252774229
20250408_141942,840,1726390.0,4.264649279568937
20250408_142002,850,1726308.0,4.26444671743586
20250408_142023,860,1724400.0,4.259733442436921
20250408_142043,870,1727379.0,4.2670923765154525
20250408_142103,880,1726733.5,4.265497817284942
20250408_142123,890,1729681.0,4.272778937861132
20250408_142143,900,1726332.0,4.264506003913834
20250408_142203,910,1726850.5,4.265786838865066
20250408_142223,920,1725962.5,4.263593239180024
20250408_142244,930,1726805.5,4.265675676718864
20250408_142304,940,1733572.0,4.282390758102679
20250408_142324,950,1728050.0,4.268749927628811
20250408_142344,960,1726817.5,4.265705319957851
20250408_142404,970,1729837.0,4.273164299967964
20250408_142424,980,1724781.0,4.26067461527476
20250408_142444,990,1727846.5,4.268247227700989
20250408_142505,1000,1728656.5,4.270248146332614
20250408_142525,1010,1732682.0,4.280192217877807
20250408_142545,1020,1728348.0,4.269486068063656
20250408_142605,1030,1728119.5,4.2689216113879445
20250408_142625,1040,1728722.5,4.270411184147043
20250408_142645,1050,1726062.0,4.263839031036626
20250408_142705,1060,1728493.0,4.269844257201416
20250408_142725,1070,1727704.0,4.267895214238019
20250408_142746,1080,1730321.0,4.274359910607108
20250408_142806,1090,1729630.5,4.272654189230395
20250408_142826,1100,1729046.0,4.271210316464735
20250408_142846,1110,1731520.5,4.2773229993708535
20250408_142906,1120,1728901.0,4.270852127326975
20250408_142926,1130,1728928.0,4.270918824614696
20250408_142947,1140,1729894.0,4.2733051053531526
20250408_143007,1150,1728867.0,4.270768138149845
20250408_143027,1160,1732189.0,4.278974374809422
20250408_143047,1170,1727966.5,4.26854366009086
20250408_143107,1180,1731446.5,4.2771401993971
20250408_143127,1190,1732433.0,4.279577120668825
20250408_143148,1200,1733013.0,4.281009877219866
20250408_143208,1210,1731720.0,4.277815818219013
20250408_143228,1220,1730642.0,4.275152867250011
20250408_143248,1230,1733700.5,4.282708187786831
20250408_143308,1240,1729770.5,4.273000027018577
20250408_143328,1250,1729230.0,4.271664846129203
20250408_143348,1260,1731962.5,4.278414858673542
20250408_143409,1270,1729973.0,4.273500256676484
20250408_143429,1280,1729081.0,4.271296775911781
20250408_143449,1290,1731052.0,4.276165677915401
20250408_143509,1300,1731558.0,4.277415634492688
20250408_143529,1310,1731425.5,4.277088323728872
20250408_143549,1320,1727358.0,4.267040500847226
20250408_143610,1330,1728461.0,4.269765208564117
20250408_143630,1340,1730312.0,4.274337678177868
20250408_143650,1350,1727549.0,4.267512322401102
